,Unnamed: 0,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
28,28.0,Ilya Svinov,64.0,72.0,1100000.0,6000.0,14.0,12.0,15.0,22.0,12.0,15.0,19.0,15.0,29.0,17.0,38.0,41.0,32.0,48.0,42.0,46.0,52.0,19.0,63.0,11.0,18.0,21.0,10.0,35.0,19.0,39.0,11.0,13.0,15.0,64.0,63.0,61.0,66.0,65.0
57,57.0,Wilson Ramírez,58.0,70.0,400000.0,500.0,13.0,9.0,13.0,16.0,9.0,9.0,11.0,11.0,30.0,13.0,22.0,22.0,38.0,55.0,48.0,44.0,65.0,20.0,42.0,8.0,19.0,15.0,9.0,35.0,20.0,33.0,9.0,15.0,11.0,61.0,60.0,58.0,55.0,53.0
14,14.0,Luís Manuel Arantes Maximiano,78.0,84.0,18000000.0,29000.0,10.0,5.0,8.0,44.0,8.0,16.0,9.0,9.0,38.0,21.0,55.0,55.0,58.0,78.0,33.0,51.0,63.0,23.0,68.0,4.0,12.0,9.0,6.0,55.0,13.0,56.0,21.0,15.0,13.0,78.0,76.0,68.0,76.0,81.0
17,17.0,Doğan Alemdar,72.0,80.0,4400000.0,9000.0,14.0,7.0,12.0,16.0,8.0,13.0,10.0,10.0,24.0,16.0,38.0,39.0,35.0,69.0,42.0,52.0,56.0,33.0,65.0,5.0,19.0,6.0,8.0,45.0,10.0,59.0,8.0,11.0,14.0,71.0,70.0,69.0,73.0,71.0
27,27.0,Gabriel Slonina,66.0,81.0,1700000.0,2000.0,14.0,7.0,11.0,25.0,8.0,13.0,10.0,14.0,23.0,15.0,44.0,37.0,39.0,67.0,35.0,47.0,50.0,34.0,63.0,8.0,39.0,15.0,5.0,50.0,12.0,48.0,14.0,10.0,12.0,69.0,62.0,62.0,65.0,65.0
33,33.0,Elia Caprile,69.0,82.0,2900000.0,1000.0,11.0,7.0,11.0,25.0,8.0,13.0,11.0,14.0,23.0,15.0,46.0,52.0,60.0,64.0,33.0,53.0,50.0,28.0,51.0,9.0,26.0,6.0,6.0,55.0,18.0,33.0,13.0,11.0,14.0,68.0,69.0,71.0,66.0,72.0
14,14.0,Frank Feller,59.0,69.0,400000.0,500.0,12.0,7.0,13.0,25.0,7.0,5.0,10.0,11.0,21.0,18.0,29.0,32.0,35.0,33.0,43.0,47.0,60.0,26.0,41.0,6.0,24.0,10.0,6.0,40.0,13.0,40.0,8.0,14.0,13.0,61.0,60.0,63.0,62.0,60.0
21,21.0,Nando Verdoni,54.0,71.0,240000.0,500.0,10.0,6.0,11.0,24.0,6.0,6.0,10.0,14.0,29.0,19.0,26.0,29.0,31.0,49.0,33.0,44.0,40.0,17.0,50.0,5.0,21.0,13.0,6.0,28.0,19.0,39.0,6.0,10.0,13.0,55.0,51.0,59.0,53.0,56.0
36,36.0,Rodrigo Perea,64.0,64.0,300000.0,500.0,13.0,8.0,13.0,22.0,7.0,15.0,12.0,13.0,29.0,13.0,44.0,42.0,40.0,58.0,42.0,47.0,60.0,25.0,55.0,9.0,21.0,7.0,7.0,29.0,18.0,35.0,6.0,15.0,13.0,61.0,65.0,63.0,64.0,65.0
43,43.0,Mário Jorge Pasquinha Évora,62.0,72.0,775000.0,1000.0,19.0,10.0,11.0,51.0,12.0,28.0,24.0,34.0,52.0,30.0,40.0,39.0,42.0,53.0,52.0,57.0,69.0,19.0,45.0,10.0,13.0,14.0,6.0,64.0,50.0,50.0,9.0,12.0,10.0,57.0,61.0,76.0,62.0,63.0
46,46.0,Pavel Pavlyuchenko,62.0,68.0,500000.0,1000.0,11.0,6.0,13.0,15.0,5.0,8.0,10.0,10.0,22.0,12.0,22.0,32.0,23.0,54.0,28.0,45.0,38.0,18.0,64.0,6.0,16.0,12.0,4.0,41.0,12.0,26.0,5.0,12.0,14.0,60.0,61.0,60.0,61.0,64.0
23,23.0,Thomas Hasal,64.0,72.0,1100000.0,1000.0,14.0,7.0,14.0,21.0,6.0,8.0,11.0,11.0,17.0,12.0,27.0,26.0,23.0,63.0,35.0,44.0,53.0,23.0,63.0,7.0,18.0,13.0,6.0,30.0,13.0,23.0,8.0,11.0,13.0,64.0,61.0,58.0,62.0,68.0
2,2.0,Carlos Acevedo López,77.0,81.0,11500000.0,16000.0,10.0,9.0,11.0,25.0,6.0,11.0,14.0,13.0,20.0,19.0,51.0,51.0,60.0,72.0,54.0,52.0,83.0,40.0,45.0,9.0,16.0,14.0,6.0,40.0,17.0,55.0,26.0,11.0,12.0,81.0,72.0,69.0,76.0,81.0
18,18.0,Alfie Malik Whiteman,63.0,70.0,825000.0,9000.0,14.0,9.0,14.0,27.0,8.0,12.0,12.0,10.0,25.0,23.0,34.0,28.0,31.0,50.0,41.0,42.0,65.0,26.0,48.0,9.0,25.0,12.0,4.0,33.0,11.0,42.0,21.0,13.0,14.0,68.0,58.0,56.0,60.0,71.0
22,22.0,Valentin Alexandru Cojocaru,68.0,71.0,1200000.0,5000.0,12.0,17.0,13.0,25.0,18.0,15.0,12.0,14.0,28.0,16.0,35.0,32.0,43.0,62.0,25.0,50.0,40.0,28.0,63.0,16.0,23.0,12.0,14.0,53.0,13.0,37.0,25.0,12.0,11.0,71.0,66.0,67.0,67.0,68.0
25,25.0,Álvaro Fernández Llorente,72.0,77.0,2800000.0,5000.0,9.0,8.0,9.0,29.0,6.0,14.0,14.0,13.0,26.0,28.0,44.0,51.0,68.0,70.0,48.0,50.0,65.0,37.0,59.0,5.0,22.0,14.0,5.0,41.0,14.0,52.0,10.0,11.0,11.0,73.0,68.0,66.0,68.0,76.0
48,48.0,Kristoffer-August Sundquist Klaesson,65.0,77.0,1500000.0,5000.0,11.0,10.0,13.0,33.0,10.0,19.0,12.0,13.0,29.0,28.0,35.0,33.0,52.0,59.0,42.0,47.0,61.0,24.0,57.0,12.0,30.0,11.0,5.0,42.0,17.0,43.0,10.0,14.0,13.0,64.0,60.0,63.0,64.0,69.0
50,50.0,Nathan Trott,65.0,73.0,1400000.0,9000.0,12.0,8.0,12.0,30.0,7.0,22.0,19.0,11.0,24.0,30.0,40.0,33.0,38.0,52.0,42.0,50.0,65.0,30.0,38.0,7.0,25.0,13.0,14.0,40.0,12.0,44.0,15.0,12.0,11.0,65.0,64.0,67.0,65.0,68.0
52,52.0,James Andrew Cumming,66.0,75.0,1700000.0,14000.0,13.0,5.0,21.0,44.0,7.0,16.0,12.0,14.0,47.0,25.0,38.0,40.0,52.0,62.0,50.0,50.0,66.0,32.0,58.0,9.0,29.0,13.0,8.0,50.0,17.0,49.0,19.0,12.0,14.0,66.0,65.0,66.0,65.0,67.0
55,55.0,Marcin Bułka,73.0,80.0,5500000.0,19000.0,12.0,8.0,10.0,28.0,5.0,11.0,13.0,14.0,27.0,15.0,28.0,25.0,42.0,62.0,28.0,52.0,43.0,30.0,70.0,7.0,25.0,11.0,8.0,40.0,18.0,42.0,15.0,10.0,14.0,74.0,72.0,69.0,73.0,74.0
1,1.0,Noah Atubolu,65.0,78.0,1500000.0,3000.0,12.0,8.0,13.0,17.0,8.0,11.0,13.0,12.0,15.0,14.0,35.0,36.0,32.0,60.0,31.0,49.0,60.0,29.0,61.0,9.0,26.0,13.0,9.0,34.0,14.0,31.0,12.0,12.0,12.0,67.0,64.0,65.0,61.0,67.0
8,8.0,James Trafford,66.0,78.0,1800000.0,8000.0,12.0,8.0,10.0,48.0,9.0,10.0,14.0,12.0,45.0,12.0,33.0,17.0,27.0,62.0,27.0,49.0,33.0,17.0,58.0,9.0,28.0,7.0,7.0,48.0,16.0,26.0,5.0,13.0,13.0,65.0,65.0,65.0,64.0,66.0
16,16.0,Julen Agirrezabala,68.0,81.0,2600000.0,5000.0,16.0,7.0,5.0,27.0,15.0,13.0,7.0,9.0,35.0,25.0,30.0,36.0,33.0,61.0,35.0,50.0,57.0,26.0,60.0,10.0,24.0,12.0,6.0,37.0,13.0,34.0,10.0,13.0,12.0,64.0,66.0,67.0,71.0,70.0
38,38.0,Luca Gemello,64.0,74.0,1100000.0,4000.0,14.0,7.0,11.0,19.0,7.0,9.0,11.0,20.0,23.0,18.0,31.0,31.0,28.0,44.0,22.0,50.0,31.0,18.0,61.0,5.0,23.0,14.0,7.0,35.0,19.0,37.0,5.0,11.0,10.0,64.0,64.0,66.0,65.0,67.0
7,7.0,Etienne Green,72.0,80.0,4600000.0,4000.0,14.0,6.0,12.0,27.0,5.0,15.0,12.0,13.0,17.0,17.0,28.0,22.0,38.0,65.0,29.0,56.0,37.0,34.0,74.0,10.0,23.0,7.0,4.0,32.0,12.0,35.0,9.0,13.0,11.0,72.0,71.0,74.0,71.0,74.0
9,9.0,Santiago Andrés Mele Castanero,72.0,78.0,3000000.0,7000.0,13.0,5.0,11.0,23.0,9.0,15.0,25.0,20.0,25.0,30.0,55.0,35.0,57.0,73.0,42.0,48.0,67.0,33.0,47.0,6.0,33.0,21.0,6.0,39.0,30.0,31.0,22.0,21.0,20.0,74.0,67.0,64.0,68.0,75.0
17,17.0,Thijs Jansen,60.0,73.0,525000.0,850.0,10.0,7.0,12.0,28.0,5.0,11.0,13.0,11.0,26.0,13.0,43.0,34.0,38.0,55.0,39.0,44.0,63.0,43.0,56.0,8.0,22.0,14.0,8.0,34.0,16.0,33.0,12.0,11.0,13.0,59.0,56.0,58.0,58.0,63.0
38,38.0,Johannes Schenk,57.0,72.0,350000.0,2000.0,11.0,9.0,15.0,21.0,6.0,12.0,11.0,10.0,23.0,20.0,17.0,16.0,25.0,39.0,35.0,48.0,42.0,21.0,57.0,7.0,30.0,15.0,8.0,33.0,16.0,23.0,8.0,10.0,15.0,56.0,54.0,64.0,59.0,63.0
43,43.0,Ousmane Ba,62.0,76.0,850000.0,800.0,14.0,15.0,10.0,18.0,6.0,12.0,10.0,14.0,22.0,17.0,23.0,20.0,26.0,48.0,50.0,47.0,58.0,17.0,53.0,8.0,24.0,11.0,4.0,27.0,35.0,26.0,7.0,10.0,10.0,64.0,59.0,63.0,62.0,65.0
45,45.0,Sebastián Araujo Lemuz,60.0,66.0,300000.0,500.0,14.0,6.0,14.0,25.0,8.0,5.0,13.0,13.0,29.0,11.0,36.0,38.0,41.0,50.0,48.0,44.0,61.0,29.0,42.0,8.0,27.0,9.0,4.0,38.0,20.0,39.0,5.0,10.0,12.0,60.0,61.0,59.0,58.0,63.0
36,36.0,Denis Franchi,61.0,73.0,675000.0,2000.0,8.0,9.0,10.0,28.0,9.0,13.0,20.0,10.0,23.0,20.0,35.0,39.0,37.0,53.0,45.0,44.0,60.0,30.0,58.0,8.0,23.0,13.0,11.0,27.0,15.0,31.0,13.0,15.0,12.0,62.0,60.0,59.0,59.0,65.0
38,38.0,Marcel Lotka,65.0,76.0,1400000.0,5000.0,12.0,11.0,11.0,20.0,8.0,9.0,12.0,7.0,23.0,12.0,24.0,21.0,26.0,54.0,29.0,41.0,38.0,29.0,66.0,8.0,22.0,10.0,7.0,23.0,10.0,30.0,8.0,10.0,9.0,66.0,64.0,55.0,69.0,66.0
53,53.0,Petar Zovko,58.0,73.0,425000.0,1000.0,12.0,6.0,11.0,19.0,6.0,7.0,14.0,10.0,17.0,10.0,23.0,17.0,28.0,42.0,29.0,45.0,33.0,23.0,56.0,6.0,17.0,7.0,8.0,32.0,18.0,39.0,6.0,10.0,13.0,55.0,59.0,60.0,55.0,66.0
2,2.0,早坂 勇希,58.0,65.0,350000.0,1000.0,15.0,7.0,11.0,28.0,8.0,12.0,13.0,13.0,23.0,14.0,48.0,48.0,53.0,48.0,43.0,43.0,68.0,28.0,73.0,7.0,19.0,8.0,9.0,34.0,13.0,23.0,8.0,11.0,15.0,62.0,56.0,57.0,49.0,64.0
51,51.0,Maxime Mignon,59.0,59.0,150000.0,2000.0,11.0,8.0,12.0,27.0,8.0,7.0,11.0,13.0,16.0,17.0,28.0,29.0,22.0,33.0,47.0,39.0,62.0,21.0,48.0,5.0,22.0,13.0,7.0,25.0,16.0,27.0,6.0,14.0,11.0,63.0,61.0,52.0,59.0,64.0
17,17.0,Lars Unnerstall,79.0,79.0,9500000.0,13000.0,10.0,13.0,10.0,26.0,15.0,16.0,13.0,11.0,24.0,19.0,28.0,37.0,19.0,69.0,20.0,47.0,45.0,35.0,82.0,12.0,36.0,21.0,13.0,42.0,16.0,58.0,11.0,17.0,15.0,79.0,78.0,63.0,80.0,81.0
20,20.0,Stefan Ortega Moreno,80.0,80.0,14500000.0,95000.0,18.0,15.0,20.0,40.0,13.0,20.0,16.0,12.0,55.0,38.0,51.0,53.0,42.0,80.0,54.0,65.0,77.0,33.0,73.0,12.0,29.0,27.0,10.0,66.0,24.0,59.0,29.0,12.0,15.0,76.0,74.0,86.0,80.0,85.0
25,25.0,Benjamin Lecomte,76.0,76.0,4000000.0,32000.0,13.0,11.0,10.0,22.0,10.0,11.0,20.0,19.0,25.0,23.0,41.0,40.0,36.0,74.0,30.0,57.0,62.0,34.0,68.0,10.0,23.0,24.0,10.0,41.0,20.0,63.0,17.0,11.0,12.0,74.0,74.0,76.0,75.0,75.0
26,26.0,Tomás Mejías Osorio,62.0,62.0,200000.0,1000.0,13.0,5.0,13.0,25.0,6.0,10.0,19.0,12.0,32.0,27.0,57.0,53.0,55.0,57.0,47.0,47.0,54.0,24.0,64.0,19.0,33.0,23.0,13.0,38.0,31.0,20.0,16.0,12.0,15.0,61.0,62.0,62.0,61.0,63.0
33,33.0,Zacharie Boucher,65.0,65.0,475000.0,1000.0,9.0,12.0,21.0,20.0,10.0,15.0,12.0,9.0,22.0,22.0,54.0,58.0,57.0,64.0,64.0,49.0,82.0,42.0,75.0,8.0,40.0,22.0,13.0,33.0,22.0,61.0,10.0,11.0,12.0,65.0,62.0,65.0,64.0,66.0
37,37.0,Anton Ciprian Tătărușanu,76.0,76.0,825000.0,25000.0,13.0,15.0,15.0,37.0,11.0,16.0,11.0,11.0,37.0,19.0,46.0,43.0,51.0,74.0,38.0,55.0,65.0,42.0,73.0,12.0,33.0,26.0,13.0,49.0,16.0,44.0,12.0,15.0,12.0,74.0,74.0,73.0,78.0,77.0
42,42.0,Zac MacMath,66.0,66.0,575000.0,2000.0,19.0,18.0,14.0,29.0,10.0,13.0,16.0,14.0,38.0,16.0,39.0,34.0,36.0,62.0,44.0,53.0,56.0,31.0,56.0,15.0,38.0,14.0,13.0,41.0,17.0,44.0,18.0,9.0,8.0,66.0,65.0,70.0,64.0,67.0
46,46.0,Luis Ricardo Mejía Cajar,72.0,72.0,1200000.0,4000.0,21.0,14.0,13.0,24.0,16.0,13.0,21.0,19.0,22.0,16.0,57.0,52.0,60.0,71.0,58.0,47.0,76.0,40.0,78.0,17.0,45.0,19.0,13.0,42.0,18.0,31.0,30.0,13.0,13.0,72.0,69.0,63.0,73.0,74.0
39,39.0,Jairo Ralph Farnias Almeida,70.0,70.0,1400000.0,9000.0,11.0,7.0,7.0,18.0,6.0,7.0,11.0,10.0,15.0,8.0,52.0,58.0,66.0,71.0,65.0,52.0,74.0,34.0,58.0,6.0,35.0,11.0,11.0,51.0,14.0,60.0,7.0,10.0,11.0,64.0,68.0,69.0,68.0,75.0
52,52.0,Thiago Rodrigues da Silva,68.0,73.0,1400000.0,3000.0,22.0,9.0,14.0,35.0,9.0,11.0,12.0,12.0,46.0,20.0,23.0,33.0,25.0,70.0,41.0,52.0,56.0,20.0,60.0,5.0,27.0,23.0,14.0,56.0,31.0,32.0,20.0,20.0,12.0,67.0,62.0,69.0,68.0,68.0
54,54.0,Markus Schubert,65.0,71.0,925000.0,3000.0,12.0,8.0,10.0,45.0,8.0,23.0,14.0,13.0,30.0,30.0,46.0,30.0,44.0,67.0,45.0,47.0,71.0,28.0,56.0,9.0,23.0,16.0,4.0,52.0,12.0,35.0,13.0,11.0,10.0,67.0,63.0,62.0,60.0,67.0
8,8.0,Scott Carson,65.0,65.0,80000.0,11000.0,14.0,19.0,18.0,25.0,13.0,17.0,18.0,16.0,17.0,20.0,33.0,37.0,38.0,61.0,42.0,47.0,72.0,28.0,70.0,20.0,23.0,19.0,11.0,44.0,20.0,38.0,10.0,15.0,20.0,63.0,65.0,62.0,69.0,63.0
13,13.0,Tom Heaton,72.0,72.0,250000.0,30000.0,17.0,12.0,16.0,32.0,12.0,17.0,15.0,13.0,37.0,28.0,48.0,45.0,54.0,63.0,50.0,53.0,72.0,38.0,66.0,12.0,31.0,24.0,12.0,46.0,24.0,58.0,16.0,15.0,13.0,71.0,71.0,70.0,73.0,72.0
14,14.0,Andrea Consigli,80.0,80.0,2300000.0,20000.0,10.0,10.0,10.0,31.0,19.0,10.0,15.0,15.0,27.0,23.0,48.0,34.0,57.0,75.0,40.0,54.0,80.0,31.0,51.0,19.0,11.0,15.0,10.0,46.0,21.0,63.0,10.0,17.0,19.0,80.0,81.0,72.0,78.0,81.0
17,17.0,Adam Federici,70.0,70.0,180000.0,2000.0,19.0,18.0,18.0,28.0,19.0,19.0,27.0,21.0,25.0,27.0,41.0,43.0,50.0,70.0,42.0,57.0,72.0,38.0,70.0,14.0,44.0,22.0,16.0,63.0,41.0,61.0,27.0,11.0,18.0,70.0,67.0,76.0,70.0,67.0
24,24.0,Darren Randolph,72.0,72.0,250000.0,20000.0,11.0,14.0,16.0,33.0,16.0,14.0,15.0,14.0,34.0,33.0,41.0,44.0,50.0,70.0,43.0,50.0,61.0,34.0,57.0,14.0,29.0,18.0,11.0,35.0,30.0,36.0,15.0,14.0,14.0,74.0,70.0,66.0,70.0,73.0
27,27.0,Tim Krul,76.0,76.0,1300000.0,31000.0,13.0,11.0,19.0,31.0,16.0,13.0,13.0,15.0,45.0,25.0,40.0,35.0,44.0,72.0,42.0,53.0,74.0,36.0,63.0,14.0,36.0,15.0,8.0,50.0,20.0,52.0,14.0,17.0,14.0,75.0,73.0,71.0,75.0,79.0
40,40.0,Manuel Reina Rodríguez,69.0,69.0,150000.0,2000.0,8.0,10.0,12.0,30.0,13.0,12.0,20.0,12.0,36.0,18.0,54.0,59.0,57.0,68.0,58.0,48.0,66.0,44.0,65.0,20.0,35.0,23.0,9.0,31.0,24.0,50.0,17.0,11.0,12.0,68.0,66.0,64.0,70.0,69.0
43,43.0,Andris Vaņins,60.0,60.0,20000.0,1000.0,15.0,14.0,12.0,22.0,13.0,13.0,14.0,10.0,18.0,14.0,36.0,41.0,31.0,56.0,41.0,39.0,60.0,35.0,65.0,14.0,29.0,22.0,13.0,60.0,23.0,56.0,20.0,14.0,15.0,59.0,60.0,52.0,59.0,61.0
46,46.0,David Ospina Ramírez,80.0,80.0,7000000.0,36000.0,11.0,10.0,15.0,36.0,12.0,12.0,10.0,13.0,32.0,32.0,34.0,34.0,44.0,77.0,50.0,58.0,75.0,29.0,38.0,12.0,20.0,25.0,16.0,50.0,26.0,57.0,11.0,13.0,12.0,81.0,76.0,77.0,80.0,82.0
52,52.0,Antonio Adán Garrido,81.0,81.0,2900000.0,9000.0,12.0,11.0,23.0,34.0,15.0,12.0,11.0,12.0,43.0,15.0,56.0,54.0,55.0,76.0,51.0,59.0,71.0,32.0,77.0,12.0,41.0,20.0,11.0,42.0,25.0,63.0,20.0,14.0,18.0,79.0,82.0,78.0,83.0,80.0
6,6.0,Leon Klußmann,54.0,71.0,240000.0,500.0,7.0,7.0,11.0,26.0,6.0,8.0,10.0,8.0,25.0,14.0,41.0,43.0,35.0,49.0,40.0,41.0,60.0,29.0,59.0,5.0,28.0,10.0,6.0,31.0,11.0,39.0,9.0,9.0,15.0,57.0,55.0,54.0,48.0,55.0
7,7.0,Tidiane Malbec,59.0,70.0,425000.0,500.0,14.0,7.0,11.0,25.0,6.0,5.0,12.0,11.0,32.0,20.0,23.0,23.0,23.0,48.0,33.0,45.0,49.0,22.0,56.0,6.0,25.0,13.0,4.0,37.0,18.0,27.0,7.0,12.0,11.0,60.0,62.0,60.0,58.0,59.0
16,16.0,Franco Ravizzoli,59.0,62.0,240000.0,1000.0,11.0,7.0,14.0,27.0,6.0,12.0,16.0,10.0,29.0,16.0,31.0,19.0,34.0,51.0,34.0,47.0,48.0,25.0,60.0,5.0,23.0,12.0,4.0,30.0,11.0,38.0,11.0,12.0,13.0,59.0,59.0,62.0,59.0,60.0
21,21.0,Valdemar Birksø,52.0,63.0,150000.0,2000.0,14.0,8.0,30.0,30.0,7.0,11.0,10.0,14.0,35.0,16.0,30.0,21.0,47.0,45.0,42.0,41.0,59.0,18.0,64.0,5.0,31.0,14.0,5.0,32.0,10.0,24.0,7.0,12.0,10.0,51.0,52.0,54.0,52.0,52.0
23,23.0,Răzvan Began,58.0,63.0,240000.0,2000.0,10.0,6.0,12.0,37.0,5.0,5.0,12.0,13.0,35.0,13.0,31.0,33.0,50.0,58.0,44.0,40.0,77.0,45.0,71.0,6.0,45.0,6.0,6.0,31.0,12.0,21.0,8.0,12.0,11.0,62.0,55.0,53.0,56.0,55.0
34,34.0,Ramón Juan Ramírez,64.0,71.0,1000000.0,1000.0,12.0,9.0,10.0,27.0,8.0,9.0,12.0,14.0,23.0,11.0,24.0,27.0,33.0,59.0,44.0,45.0,57.0,16.0,42.0,8.0,25.0,8.0,5.0,28.0,17.0,39.0,6.0,10.0,10.0,61.0,62.0,60.0,65.0,66.0
46,46.0,Alexander Dlugaiczyk,58.0,58.0,25000.0,500.0,10.0,5.0,13.0,16.0,8.0,13.0,14.0,13.0,24.0,13.0,27.0,28.0,30.0,46.0,25.0,45.0,38.0,19.0,73.0,8.0,26.0,13.0,4.0,39.0,19.0,30.0,10.0,10.0,11.0,60.0,59.0,60.0,59.0,57.0
59,59.0,Joaquín Cabrera,59.0,71.0,475000.0,950.0,11.0,8.0,8.0,21.0,6.0,11.0,14.0,11.0,16.0,9.0,18.0,34.0,33.0,58.0,44.0,42.0,63.0,25.0,52.0,5.0,27.0,15.0,5.0,31.0,9.0,34.0,8.0,12.0,15.0,60.0,55.0,56.0,58.0,59.0
3,3.0,Georgiy Kyrnats,58.0,68.0,160000.0,3000.0,12.0,9.0,11.0,29.0,5.0,9.0,13.0,11.0,27.0,10.0,48.0,35.0,32.0,57.0,34.0,38.0,41.0,24.0,58.0,6.0,23.0,8.0,5.0,34.0,16.0,25.0,5.0,10.0,12.0,55.0,58.0,50.0,58.0,57.0
47,47.0,Stefan Bajić,67.0,78.0,1900000.0,6000.0,9.0,5.0,12.0,24.0,8.0,7.0,12.0,11.0,20.0,18.0,28.0,20.0,35.0,60.0,42.0,49.0,55.0,29.0,41.0,9.0,21.0,10.0,5.0,43.0,11.0,25.0,5.0,12.0,9.0,68.0,66.0,65.0,64.0,68.0
4,4.0,Scott Simons,53.0,62.0,170000.0,500.0,11.0,8.0,18.0,31.0,10.0,12.0,17.0,12.0,29.0,15.0,31.0,34.0,38.0,43.0,33.0,41.0,48.0,20.0,53.0,9.0,28.0,8.0,4.0,31.0,19.0,38.0,6.0,12.0,16.0,52.0,53.0,55.0,52.0,55.0
12,12.0,Paul Tschernuth,59.0,70.0,425000.0,2000.0,11.0,8.0,12.0,24.0,10.0,12.0,12.0,11.0,20.0,20.0,18.0,17.0,22.0,41.0,38.0,45.0,45.0,24.0,41.0,9.0,25.0,7.0,5.0,21.0,19.0,30.0,6.0,11.0,12.0,60.0,61.0,60.0,58.0,60.0
